Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
5,Crime and Punishment,Fyodor Dostoyevsky,1866,4.16
6,Frankenstein,Mary Shelley,1818,3.73
7,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,1871,4.06
8,The Count of Monte Cristo,Alexandre Dumas,1844,4.19
9,Emma,Jane Austen,1815,3.98
10,Dracula,Bram Stoker,1897,3.96
11,Les Misérables,Victor Hugo,1862,4.12
12,Little Women,Louisa May Alcott,1868,4.02
13,Persuasion,Jane Austen,1818,4.13
14,The Adventures of Huckleberry Finn,Mark Twain,1884,3.79
15,Sense and Sensibility,Jane Austen,1811,4.05
16,Anna Karenina,Leo Tolstoy,1873,4.00
17,A Tale of Two Cities,Charles Dickens,1859,3.79
18,Great Expectations,Charles Dickens,1861,3.73
19,A Christmas Carol,Charles Dickens,1843,4.00
20,The Brothers Karamazov,Fyodor Dostoyevsky,1880,4.29
21,The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,4.29
22,War and Peace,Leo Tolstoy,1865,4.10
23,The Importance of Being Earnest,Oscar Wilde,1895,4.16
24,"Moby-Dick; or, The Whale",Herman Melville,1851,3.44
25,The Adventures of Tom Sawyer,Mark Twain,1876,3.88
26,The Scarlet Letter,Nathaniel Hawthorne,1850,3.35
27,Tess of the D'Urbervilles,Thomas Hardy,1891,3.74
28,Madame Bovary,Gustave Flaubert,1856,3.63
29,Treasure Island,Robert Louis Stevenson,1883,3.81
30,The Three Musketeers,Alexandre Dumas,1844,4.05
31,Mansfield Park,Jane Austen,1814,3.81
32,North and South,Elizabeth Gaskell,1854,4.13
33,Northanger Abbey,Jane Austen,1817,3.78
34,The Time Machine,H.G. Wells,1895,3.85
35,Oliver Twist,Charles Dickens,1838,3.83
36,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,1843,4.15
37,Alice in Wonderland,Lewis Carroll,1865,4.01
38,The Complete Grimm's Fairy Tales,Jacob Grimm,1812,4.31
39,Middlemarch,George Eliot,1872,3.91
40,A Study in Scarlet,Arthur Conan Doyle,1887,4.14
41,The Wonderful Wizard of Oz,L. Frank Baum,1900,3.97
42,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,3.78
43,The Hunchback of Notre-Dame,Victor Hugo,1831,3.95
44,Bleak House,Charles Dickens,1853,3.99
45,David Copperfield,Charles Dickens,1849,3.95
46,The Origin of Species,Charles Darwin,1859,3.95
47,The Idiot,Fyodor Dostoyevsky,1869,4.17
48,The Woman in White,Wilkie Collins,1859,3.97
49,Vanity Fair,William Makepeace Thackeray,1847,3.75
50,The War of the Worlds,H.G. Wells,1898,3.78
51,Leaves of Grass,Walt Whitman,1855,4.13
52,Notes from Underground,Fyodor Dostoyevsky,1864,4.15
53,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,3.81
54,The Complete Fairy Tales,Hans Christian Andersen,1874,4.28
55,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,3.84
56,Around the World in Eighty Days,Jules Verne,1872,3.90
57,Heidi,Johanna Spyri,1880,3.96
58,A Doll's House,Henrik Ibsen,1879,3.66
59,Faust: First Part,Johann Wolfgang von Goethe,1808,3.93
60,The Tenant of Wildfell Hall,Anne Brontë,1848,3.89
61,Black Beauty,Anna Sewell,1877,3.93
62,The Jungle Books,Rudyard Kipling,1895,3.99
63,Far from the Madding Crowd,Thomas Hardy,1874,3.89
64,The Awakening,Kate Chopin,1899,3.61
65,Villette,Charlotte Brontë,1853,3.73
66,Walden,Henry David Thoreau,1852,3.79
67,The Moonstone,Wilkie Collins,1868,3.89
68,The Communist Manifesto,Karl Marx,1848,3.49
69,The Red and the Black,Stendhal,1830,3.86
70,Les Fleurs du Mal,Charles Baudelaire,1857,4.27
71,Poems,Emily Dickinson,1830,4.24
72,The Sign of Four,Arthur Conan Doyle,1890,3.96
